"message_id","message","message_utc","from_id","date","time"
"131561","Não","2023-01-05 14:04:51","5255871373","2023-01-05","14:04:51"
"131644","Estrela bet","2023-01-05 19:20:40","5384242182","2023-01-05","19:20:40"
"131662","Não","2023-01-05 19:30:19","5384242182","2023-01-05","19:30:19"
"131681","Blz","2023-01-05 20:15:16","5002371710","2023-01-05","20:15:16"
"131795","😂","2023-01-05 21:41:12","5384242182","2023-01-05","21:41:12"
"131853","Sim","2023-01-05 21:59:22","1598665854","2023-01-05","21:59:22"
"131392","Jesus","2023-01-05 04:13:55","1669067081","2023-01-05","04:13:55"
"131401","Confiamos!!","2023-01-05 04:14:28","5076164912","2023-01-05","04:14:28"
"131524","15hrs e 21hrs","2023-01-05 13:03:14","5255871373","2023-01-05","13:03:14"
"131123","Simm, boa noite","2023-01-05 01:18:24","1249975756","2023-01-05","01:18:24"
"131106","👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼","2023-01-05 00:10:49","1032161565","2023-01-05","00:10:49"
"131108","Faço isso para alavancar. Tudo dentro de um gerenciamento !","2023-01-05 00:11:49","754996825","2023-01-05","00:11:49"
"131109","Inscrito iago","2023-01-05 00:12:00","984573847","2023-01-05","00:12:00"
"131110","vai sair lista nn?","2023-01-05 00:16:22","5986341744","2023-01-05","00:16:22"
"131111","21:27
21:29 🌹
21:32
21:40
21:44 🌹
21:47
21:54 🌹


Caso der red, faça gale 1","2023-01-05 00:22:19","5384242182","2023-01-05","00:22:19"
"131114","E a Live vai ter ?","2023-01-05 01:02:50","5821550821","2023-01-05","01:02:50"
"131117","Esperar uns minutos aí turma, para da tempo de o pessoal entrar","2023-01-05 01:13:22","5384242182","2023-01-05","01:13:22"
"131118","Pra mim não escuynada","2023-01-05 01:17:46","5693855704","2023-01-05","01:17:46"
"131120","Já começou","2023-01-05 01:17:50","5693855704","2023-01-05","01:17:50"
"131121","?","2023-01-05 01:17:52","5693855704","2023-01-05","01:17:52"
"131122","Sim","2023-01-05 01:18:23","5829820574","2023-01-05","01:18:23"
"131124","Escuto agora","2023-01-05 01:18:26","5693855704","2023-01-05","01:18:26"
"131125","Boa noite","2023-01-05 01:18:29","5693855704","2023-01-05","01:18:29"
"131126","Boa noite","2023-01-05 01:18:33","5915994102","2023-01-05","01:18:33"
"131127","Boa Noite","2023-01-05 01:18:42","5555377562","2023-01-05","01:18:42"
"131128","Qual","2023-01-05 01:20:19","5693855704","2023-01-05","01:20:19"
"131129","Eu peguei","2023-01-05 01:21:32","5555377562","2023-01-05","01:21:32"
"131130","Tá mudo no meu","2023-01-05 01:24:01","5303668503","2023-01-05","01:24:01"
"131131","Agr sim","2023-01-05 01:24:39","5303668503","2023-01-05","01:24:39"
"131132","10x??","2023-01-05 01:26:50","5303668503","2023-01-05","01:26:50"
"131133","Ñ foi","2023-01-05 01:27:00","5303668503","2023-01-05","01:27:00"
"131134","Mas pagou","2023-01-05 01:27:05","5303668503","2023-01-05","01:27:05"
"131136","Op","2023-01-05 01:30:18","5693855704","2023-01-05","01:30:18"
"131137","Tô escutando nada","2023-01-05 01:30:35","1960600395","2023-01-05","01:30:35"
"131141","3 x 0 ✅🔥","2023-01-05 01:32:27","5384242182","2023-01-05","01:32:27"
"131142","Poderia esplicar de novo","2023-01-05 01:32:29","5693855704","2023-01-05","01:32:29"
"131143","Cheguei agr","2023-01-05 01:32:36","5693855704","2023-01-05","01:32:36"
"131144","Peguei","2023-01-05 01:32:46","1249975756","2023-01-05","01:32:46"
"131145","Sim","2023-01-05 01:32:49","1099027588","2023-01-05","01:32:49"
"131146","Peguei!!!!!!","2023-01-05 01:32:54","963902321","2023-01-05","01:32:54"
"131148","Pegueii","2023-01-05 01:32:58","5076164912","2023-01-05","01:32:58"
"131149","Recusou kkk","2023-01-05 01:33:02","5829820574","2023-01-05","01:33:02"
"131150","Boa noite","2023-01-05 01:33:06","5585301501","2023-01-05","01:33:06"
"131151","Peguei 4x","2023-01-05 01:33:06","5915994102","2023-01-05","01:33:06"
"131152","Peguei","2023-01-05 01:33:08","5585301501","2023-01-05","01:33:08"
"131153","Cheguei agora","2023-01-05 01:33:47","1969023247","2023-01-05","01:33:47"
"131154","Só pode ser brincadeira msm kkkk","2023-01-05 01:34:57","5585301501","2023-01-05","01:34:57"
"131155","Peguei de novo com 1 real 10 x","2023-01-05 01:35:03","5915994102","2023-01-05","01:35:03"
"131156","Aaah kkk","2023-01-05 01:35:03","5076164912","2023-01-05","01:35:03"
"131157","Kkkk","2023-01-05 01:35:08","5915994102","2023-01-05","01:35:08"
"131158","E q se perder 1 real não dava nada kk","2023-01-05 01:36:25","5915994102","2023-01-05","01:36:25"
"131159","O jogo não deixou eu entrar aaah","2023-01-05 01:37:53","5076164912","2023-01-05","01:37:53"
"131160","Travou","2023-01-05 01:37:57","5076164912","2023-01-05","01:37:57"
"131161","Tempo esgotado","2023-01-05 01:38:04","5574749611","2023-01-05","01:38:04"
"131162","Nem eu","2023-01-05 01:38:05","1249975756","2023-01-05","01:38:05"
"131163","Tempo esgotado","2023-01-05 01:38:06","5923910898","2023-01-05","01:38:06"
"131165","Tbm","2023-01-05 01:38:10","1969023247","2023-01-05","01:38:10"
"131166","Kkkk","2023-01-05 01:38:12","5076164912","2023-01-05","01:38:12"
"131167","Orra","2023-01-05 01:38:15","5076164912","2023-01-05","01:38:15"
"131168","Pra mim nem chegou acredita sinal ruim","2023-01-05 01:38:30","5585301501","2023-01-05","01:38:30"
"131169","Isso vc falou e nem chegou aqui pra mim entrar","2023-01-05 01:39:01","5585301501","2023-01-05","01:39:01"
"131170","4 x 0 ✅🔥","2023-01-05 01:39:06","5384242182","2023-01-05","01:39:06"
"131171","Tao na estrela  beat?","2023-01-05 01:40:38","5839442928","2023-01-05","01:40:38"
"131172","Esportes da sorte","2023-01-05 01:40:55","1249975756","2023-01-05","01:40:55"
"131174","Aff 😞 rejeitou","2023-01-05 01:43:45","1969023247","2023-01-05","01:43:45"
"131178","5 x 0 ✅🔥","2023-01-05 01:44:30","5384242182","2023-01-05","01:44:30"
"131179","Pegueii","2023-01-05 01:44:40","1249975756","2023-01-05","01:44:40"
"131181","Peguei 3x","2023-01-05 01:44:53","5829820574","2023-01-05","01:44:53"
"131182","Kkk","2023-01-05 01:44:54","5829820574","2023-01-05","01:44:54"
"131184","Peguei 3x tbm","2023-01-05 01:45:13","5076164912","2023-01-05","01:45:13"
"131185","Peguei 3.60","2023-01-05 01:45:17","1598665854","2023-01-05","01:45:17"
